1,66324,66324
2,48789,115113
3,93975,209088
4,60104,269192
5,78696,347888
6,49141,397029
7,86191,483220
8,58654,541874
9,72920,614794
10,75557,690351
11,74658,765009
12,60688,825697
13,71993,897690
14,67593,965283
15,93804,1059087
16,64593,1123680
17,64309,1187989
18,78231,1266220
19,58009,1324229
20,69834,1394063
21,64142,1458205
22,77394,1535599
23,77516,1613115
24,68654,1681769
25,83173,1764942
26,88251,1853193
27,80559,1933752
28,70975,2004727
29,75067,2079794
30,61096,2140890
31,65305,2206195
32,84723,2290918
33,76738,2367656
34,65534,2433190
35,61407,2494597
36,81975,2576572
37,69231,2645803
38,74701,2720504
39,73896,2794400
40,67056,2861456
41,73001,2934457
42,80260,3014717
43,80030,3094747
44,71839,3166586
45,66335,3232921
46,78040,3310961
47,78806,3389767
48,64063,3453830
49,63630,3517460
50,77093,3594553
51,58963,3653516
52,60165,3713681
53,87025,3800706
54,65971,3866677
55,62877,3929554
56,59958,3989512
57,84179,4073691
58,65443,4139134
59,87846,4226980
60,86882,4313862
61,70474,4384336
62,90498,4474834
63,75727,4550561
64,76185,4626746
65,65216,4691962
66,51465,4743427
67,61618,4805045
68,80941,4885986
69,69555,4955541
70,76160,5031701
71,69739,5101440
72,83330,5184770
73,73984,5258754
74,83136,5341890
75,60340,5402230
76,58024,5460254
77,58451,5518705
78,57229,5575934
79,65114,5641048
80,85016,5726064
81,76834,5802898
82,95534,5898432
83,76286,5974718
84,72738,6047456
85,70995,6118451
86,69287,6187738
87,74638,6262376
88,81460,6343836
89,84840,6428676
90,58909,6487585
91,70084,6557669
92,61425,6619094
93,60354,6679448
94,57960,6737408
95,59283,6796691
96,55717,6852408
97,54237,6906645
98,81394,6988039
99,72286,7060325
100,75928,7136253
